TID,KEY,TIME,LAT,LONG,PRED_LAT,PRED_LONG
2234,2015-01,2015011400,11.5,134.70000000000002,11.525571,135.34393
2234,2015-01,2015011406,11.7,133.5,11.693887,134.20543
2234,2015-01,2015011412,11.6,132.70000000000002,12.671792,133.26393
2234,2015-01,2015011418,11.6,131.8,12.079784,131.74214
2234,2015-01,2015011500,11.5,130.6,12.755421,131.05765
2234,2015-01,2015011506,11.4,129.8,12.069342,129.43024
2234,2015-01,2015011512,11.3,128.70000000000002,11.465674,129.56697
2234,2015-01,2015011518,11.1,127.6,11.88581,129.62985
2234,2015-01,2015011600,11.3,126.8,11.112984,127.14384
2234,2015-01,2015011606,11.9,125.8,11.478402,127.52931
2234,2015-01,2015011612,12.4,125.0,11.153476,125.796265
2234,2015-01,2015011618,12.7,124.3,12.060147,125.03776
2234,2015-01,2015011700,13.4,123.6,11.765263,123.61528
2234,2015-01,2015011706,14.0,122.7,12.6774,123.13818
2234,2015-01,2015011712,14.8,122.4,14.005231,122.24412
2234,2015-01,2015011718,15.8,122.5,14.507318,122.29604
2234,2015-01,2015011800,16.5,122.8,16.048206,121.87168
2234,2015-01,2015011806,16.8,123.0,17.562891,122.11204
2234,2015-01,2015011812,16.8,123.5,17.290804,122.00948
2234,2015-01,2015011818,16.7,123.9,18.148273,124.37541
2235,2015-02,2015020712,12.2,156.8,12.280704,156.47586
2235,2015-02,2015020718,12.2,156.60000000000002,13.136549,157.3904
2235,2015-02,2015020800,12.3,156.4,13.134288,157.34454
2235,2015-02,2015020806,12.4,156.10000000000002,13.295318,156.78096
2235,2015-02,2015020812,12.7,155.70000000000002,13.1733465,156.29967
2235,2015-02,2015020818,13.0,155.20000000000002,13.117806,156.05475
2235,2015-02,2015020900,13.6,154.70000000000002,13.187401,156.24895
2235,2015-02,2015020906,14.2,154.20000000000002,13.334834,156.24352
2235,2015-02,2015020912,14.7,154.0,14.410947,155.15619
2235,2015-02,2015020918,15.1,153.70000000000002,15.047164,154.52342
2235,2015-02,2015021000,15.4,153.3,15.685117,155.15408
2235,2015-02,2015021006,15.6,152.8,16.318369,154.57486
2235,2015-02,2015021012,16.1,152.5,16.549603,155.13412
2235,2015-02,2015021018,16.5,152.1,16.795145,153.816
2235,2015-02,2015021100,16.8,152.20000000000002,16.042328,153.18488
2235,2015-02,2015021106,17.5,152.6,14.82568,152.34203
2236,2015-03,2015031206,9.0,159.8,10.791468,161.14624
2236,2015-03,2015031212,9.5,158.8,11.096503,159.56381
2236,2015-03,2015031218,10.7,157.4,11.60066,158.5481
2236,2015-03,2015031300,11.7,155.3,12.545907,156.26761
2236,2015-03,2015031306,12.5,153.0,12.826852,154.98354
2236,2015-03,2015031312,13.6,150.8,13.329792,154.40672
2236,2015-03,2015031318,13.9,149.8,14.892573,153.34908
2236,2015-03,2015031400,14.0,148.3,14.672855,150.84166
2236,2015-03,2015031406,13.9,146.6,15.3772335,148.68457
2236,2015-03,2015031412,13.7,144.70000000000002,14.638374,144.77159
2236,2015-03,2015031418,13.4,142.70000000000002,15.352649,145.81949
2236,2015-03,2015031500,13.3,140.9,14.675649,143.58871
2236,2015-03,2015031506,13.7,139.8,13.7684145,141.9294
2236,2015-03,2015031512,14.1,138.70000000000002,12.971717,138.73958
2236,2015-03,2015031518,14.7,137.70000000000002,12.935446,136.91724
2236,2015-03,2015031600,15.2,136.20000000000002,13.30543,134.81589
2236,2015-03,2015031606,15.4,135.3,14.145384,135.88513
2236,2015-03,2015031612,15.5,134.5,14.915312,135.25197
2236,2015-03,2015031618,15.8,133.4,15.226323,134.71237
2236,2015-03,2015031700,15.9,132.8,15.484193,132.77449
2236,2015-03,2015031706,16.1,131.9,15.535107,132.52222
2236,2015-03,2015031712,16.1,131.0,15.936091,132.01627
2236,2015-03,2015031718,16.0,130.4,16.564707,130.87474
2236,2015-03,2015031800,15.9,129.8,17.287457,130.24097
2236,2015-03,2015031806,15.6,129.0,17.568792,129.59091
2236,2015-03,2015031812,15.4,128.20000000000002,17.421993,129.34462
2236,2015-03,2015031818,15.2,127.2,17.118385,129.77048
2236,2015-03,2015031900,15.0,126.6,17.521143,129.02254
2236,2015-03,2015031906,14.7,125.9,16.53704,126.737076
2236,2015-03,2015031912,14.5,125.1,16.120592,126.11221
2236,2015-03,2015031918,14.5,124.2,15.772425,124.22651
2236,2015-03,2015032000,14.5,123.4,16.321737,124.10235
2236,2015-03,2015032006,14.3,122.5,15.7043085,124.44932
2236,2015-03,2015032012,14.0,121.7,15.1630125,122.80077
2237,2015-04,2015032700,7.6,155.3,7.6049414,154.3424
2237,2015-04,2015032706,7.6,154.5,7.671362,154.63031
2237,2015-04,2015032712,7.5,153.5,8.166394,154.27547
2237,2015-04,2015032718,7.4,152.70000000000002,8.130894,153.20648
2237,2015-04,2015032800,7.5,151.9,8.682695,151.25104
2237,2015-04,2015032806,7.7,150.9,7.6033974,151.46593
2237,2015-04,2015032812,8.0,149.70000000000002,8.001399,148.23012
2237,2015-04,2015032818,8.1,148.20000000000002,8.19485,149.08601
2237,2015-04,2015032900,8.4,147.20000000000002,8.586167,147.65546
2237,2015-04,2015032906,8.8,145.8,8.520536,145.86636
2237,2015-04,2015032912,9.0,144.8,9.185308,144.0868
2237,2015-04,2015032918,9.4,143.6,9.13087,142.45085
2237,2015-04,2015033000,9.6,142.4,9.627852,141.43059
2237,2015-04,2015033006,10.0,141.3,9.877594,140.04549
2237,2015-04,2015033012,10.3,139.9,10.422287,140.02255
2237,2015-04,2015033018,10.3,138.70000000000002,10.866348,138.71184
2237,2015-04,2015033100,10.7,137.6,11.475713,138.05069
2237,2015-04,2015033106,11.2,136.6,11.953471,137.27547
2237,2015-04,2015033112,11.7,135.70000000000002,11.733601,135.06352
2237,2015-04,2015033118,12.0,134.70000000000002,11.379951,134.38318
2237,2015-04,2015040100,12.3,134.0,13.005437,133.57498
2237,2015-04,2015040106,12.8,133.4,13.432894,133.4393
2237,2015-04,2015040112,13.3,132.6,14.00871,132.9128
2237,2015-04,2015040118,13.8,131.9,14.242255,132.30225
2237,2015-04,2015040200,14.1,131.0,14.934423,132.33807
2237,2015-04,2015040206,14.2,130.0,15.982345,131.91661
2237,2015-04,2015040212,14.2,129.0,15.239142,129.46648
2237,2015-04,2015040218,14.4,127.7,15.296431,128.73566
2237,2015-04,2015040300,14.8,126.5,15.37057,127.55909
2237,2015-04,2015040306,15.2,125.1,15.839209,126.39063
2237,2015-04,2015040312,15.6,124.2,14.978694,125.15157
2237,2015-04,2015040318,15.9,123.4,15.6320505,123.19133
2237,2015-04,2015040400,16.2,122.5,16.443909,122.783676
2237,2015-04,2015040406,16.900000000000002,121.5,16.461266,120.8055
2237,2015-04,2015040412,18.4,119.8,17.40001,120.12812
2237,2015-04,2015040418,19.8,118.3,17.919518,119.76283
2237,2015-04,2015040500,20.1,117.4,17.775234,119.07347
2237,2015-04,2015040506,20.0,117.0,18.810898,118.93658
2238,2015-05,2015040400,9.0,151.3,9.14682,148.95067
2238,2015-05,2015040406,8.9,150.9,8.550942,148.74077
2238,2015-05,2015040412,8.9,150.8,8.860128,149.62213
2238,2015-05,2015040418,8.9,150.70000000000002,8.922715,148.76097
2238,2015-05,2015040500,9.0,150.6,8.470561,148.78568
2238,2015-05,2015040506,9.1,150.6,8.367826,147.81294
2239,2015-06,2015050312,9.6,139.6,10.135034,139.14752
2239,2015-06,2015050318,9.5,139.3,10.761709,139.08989
2239,2015-06,2015050400,9.4,139.0,11.130322,137.84482
2239,2015-06,2015050406,9.4,138.70000000000002,9.726297,137.90248
2239,2015-06,2015050412,9.4,138.5,10.006643,137.806
2239,2015-06,2015050418,9.4,138.20000000000002,9.695813,138.16486
2239,2015-06,2015050500,9.5,137.6,10.238611,138.34682
2239,2015-06,2015050506,9.5,136.9,10.635305,137.49634
2239,2015-06,2015050512,9.8,136.0,11.006819,137.80627
2239,2015-06,2015050518,10.2,135.20000000000002,10.843826,136.49731
2239,2015-06,2015050600,10.6,134.20000000000002,10.652249,134.67426
2239,2015-06,2015050606,11.3,133.1,10.02254,132.5805
2239,2015-06,2015050612,11.6,132.0,11.484851,132.39333
2239,2015-06,2015050618,11.8,131.20000000000002,12.061422,132.08575
2239,2015-06,2015050700,12.1,130.20000000000002,12.299772,130.34686
2239,2015-06,2015050706,12.6,129.1,12.818019,129.09537
2239,2015-06,2015050712,13.4,128.0,12.619631,128.30466
2239,2015-06,2015050718,13.7,127.1,13.49768,127.970276
2239,2015-06,2015050800,14.3,126.2,14.370988,126.261795
2239,2015-06,2015050806,14.9,125.2,14.680007,125.015976
2239,2015-06,2015050812,15.4,124.6,15.621764,123.892006
2239,2015-06,2015050818,16.1,123.9,16.084736,123.679565
2239,2015-06,2015050900,16.900000000000002,123.3,18.050848,123.70892
2239,2015-06,2015050906,17.8,122.6,17.525919,122.27048
2239,2015-06,2015050912,18.6,122.3,17.736832,122.19474
