TID,KEY,TIME,LAT,LONG,PRED_LAT,PRED_LONG
2234,2015-01,2015011400,11.5,134.70000000000002,11.420535,136.08086
2234,2015-01,2015011406,11.7,133.5,11.201151,135.12622
2234,2015-01,2015011412,11.6,132.70000000000002,12.456796,133.74892
2234,2015-01,2015011418,11.6,131.8,11.976906,133.05919
2234,2015-01,2015011500,11.5,130.6,11.940001,131.88678
2234,2015-01,2015011506,11.4,129.8,11.48046,130.7073
2234,2015-01,2015011512,11.3,128.70000000000002,11.258859,130.21889
2234,2015-01,2015011518,11.1,127.6,11.4094305,130.0602
2234,2015-01,2015011600,11.3,126.8,11.1391,128.48126
2234,2015-01,2015011606,11.9,125.8,11.904151,128.1273
2234,2015-01,2015011612,12.4,125.0,11.855841,127.232216
2234,2015-01,2015011618,12.7,124.3,11.628259,126.09316
2234,2015-01,2015011700,13.4,123.6,12.156536,124.403564
2234,2015-01,2015011706,14.0,122.7,12.561497,124.16651
2234,2015-01,2015011712,14.8,122.4,14.221944,123.55009
2234,2015-01,2015011718,15.8,122.5,14.940773,123.93878
2234,2015-01,2015011800,16.5,122.8,15.823696,122.87458
2234,2015-01,2015011806,16.8,123.0,16.549746,122.628716
2234,2015-01,2015011812,16.8,123.5,16.295246,121.92258
2234,2015-01,2015011818,16.7,123.9,16.543459,123.58719
2235,2015-02,2015020712,12.2,156.8,11.951469,157.92003
2235,2015-02,2015020718,12.2,156.60000000000002,14.143953,157.95352
2235,2015-02,2015020800,12.3,156.4,12.590823,158.30626
2235,2015-02,2015020806,12.4,156.10000000000002,13.733016,158.37376
2235,2015-02,2015020812,12.7,155.70000000000002,13.112955,157.19237
2235,2015-02,2015020818,13.0,155.20000000000002,13.539533,155.99007
2235,2015-02,2015020900,13.6,154.70000000000002,13.267457,156.1322
2235,2015-02,2015020906,14.2,154.20000000000002,14.24549,157.65218
2235,2015-02,2015020912,14.7,154.0,14.935375,156.54552
2235,2015-02,2015020918,15.1,153.70000000000002,15.347726,155.48056
2235,2015-02,2015021000,15.4,153.3,16.283821,155.65872
2235,2015-02,2015021006,15.6,152.8,16.854046,154.89935
2235,2015-02,2015021012,16.1,152.5,18.025375,156.82344
2235,2015-02,2015021018,16.5,152.1,17.380878,155.44786
2235,2015-02,2015021100,16.8,152.20000000000002,17.078022,155.4142
2235,2015-02,2015021106,17.5,152.6,17.38441,155.75082
2236,2015-03,2015031206,9.0,159.8,12.191937,163.05435
2236,2015-03,2015031212,9.5,158.8,11.016837,161.9274
2236,2015-03,2015031218,10.7,157.4,11.557671,160.18895
2236,2015-03,2015031300,11.7,155.3,11.031269,156.58714
2236,2015-03,2015031306,12.5,153.0,11.668172,155.56462
2236,2015-03,2015031312,13.6,150.8,12.07949,154.42744
2236,2015-03,2015031318,13.9,149.8,13.439624,152.59764
2236,2015-03,2015031400,14.0,148.3,13.557392,149.15372
2236,2015-03,2015031406,13.9,146.6,14.631832,148.2938
2236,2015-03,2015031412,13.7,144.70000000000002,13.601758,144.29503
2236,2015-03,2015031418,13.4,142.70000000000002,14.487872,145.13383
2236,2015-03,2015031500,13.3,140.9,14.529278,143.54926
2236,2015-03,2015031506,13.7,139.8,15.007805,142.89633
2236,2015-03,2015031512,14.1,138.70000000000002,13.7251005,139.87192
2236,2015-03,2015031518,14.7,137.70000000000002,12.648235,138.02036
2236,2015-03,2015031600,15.2,136.20000000000002,14.475826,136.65599
2236,2015-03,2015031606,15.4,135.3,15.394737,136.03339
2236,2015-03,2015031612,15.5,134.5,14.874362,135.3397
2236,2015-03,2015031618,15.8,133.4,15.518889,135.28278
2236,2015-03,2015031700,15.9,132.8,15.500725,134.14275
2236,2015-03,2015031706,16.1,131.9,16.083426,134.17038
2236,2015-03,2015031712,16.1,131.0,16.283934,134.86652
2236,2015-03,2015031718,16.0,130.4,16.642658,132.9516
2236,2015-03,2015031800,15.9,129.8,17.141083,132.35132
2236,2015-03,2015031806,15.6,129.0,16.203274,131.10992
2236,2015-03,2015031812,15.4,128.20000000000002,16.26918,130.49147
2236,2015-03,2015031818,15.2,127.2,16.116735,129.97923
2236,2015-03,2015031900,15.0,126.6,16.064945,129.7516
2236,2015-03,2015031906,14.7,125.9,15.402373,129.23192
2236,2015-03,2015031912,14.5,125.1,16.094934,127.09069
2236,2015-03,2015031918,14.5,124.2,15.514384,126.08516
2236,2015-03,2015032000,14.5,123.4,16.108818,125.46556
2236,2015-03,2015032006,14.3,122.5,14.7197485,125.45796
2236,2015-03,2015032012,14.0,121.7,15.34226,123.50585
2237,2015-04,2015032700,7.6,155.3,7.8985925,156.10318
2237,2015-04,2015032706,7.6,154.5,7.4858828,155.74448
2237,2015-04,2015032712,7.5,153.5,8.112683,154.75432
2237,2015-04,2015032718,7.4,152.70000000000002,8.134697,154.34602
2237,2015-04,2015032800,7.5,151.9,7.8612776,152.58224
2237,2015-04,2015032806,7.7,150.9,7.8132167,152.3717
2237,2015-04,2015032812,8.0,149.70000000000002,7.9864025,149.84962
2237,2015-04,2015032818,8.1,148.20000000000002,8.599894,150.38387
2237,2015-04,2015032900,8.4,147.20000000000002,8.8770895,148.96082
2237,2015-04,2015032906,8.8,145.8,8.848345,148.16673
2237,2015-04,2015032912,9.0,144.8,9.265656,145.28017
2237,2015-04,2015032918,9.4,143.6,9.424227,143.7971
2237,2015-04,2015033000,9.6,142.4,9.568616,142.58212
2237,2015-04,2015033006,10.0,141.3,9.820425,141.95575
2237,2015-04,2015033012,10.3,139.9,10.045736,140.46419
2237,2015-04,2015033018,10.3,138.70000000000002,10.637911,139.49698
2237,2015-04,2015033100,10.7,137.6,10.314601,138.4639
2237,2015-04,2015033106,11.2,136.6,11.1446705,137.49678
2237,2015-04,2015033112,11.7,135.70000000000002,11.147698,135.75096
2237,2015-04,2015033118,12.0,134.70000000000002,11.252362,136.41393
2237,2015-04,2015040100,12.3,134.0,11.505143,134.08028
2237,2015-04,2015040106,12.8,133.4,12.519593,134.52534
2237,2015-04,2015040112,13.3,132.6,14.024441,135.22365
2237,2015-04,2015040118,13.8,131.9,13.440607,133.83167
2237,2015-04,2015040200,14.1,131.0,14.142594,133.3656
2237,2015-04,2015040206,14.2,130.0,14.883089,133.06989
2237,2015-04,2015040212,14.2,129.0,15.146691,130.95668
2237,2015-04,2015040218,14.4,127.7,15.870186,130.24707
2237,2015-04,2015040300,14.8,126.5,15.824067,129.74812
2237,2015-04,2015040306,15.2,125.1,15.604747,127.72902
2237,2015-04,2015040312,15.6,124.2,15.230234,126.14819
2237,2015-04,2015040318,15.9,123.4,15.117667,124.17956
2237,2015-04,2015040400,16.2,122.5,15.837258,123.49892
