TID,KEY,TIME,LAT,LONG,PRED_LAT,PRED_LONG
2234,2015-01,2015011400,11.5,134.70000000000002,11.927774,135.8717
2234,2015-01,2015011406,11.7,133.5,11.624425,134.70428
2234,2015-01,2015011412,11.6,132.70000000000002,12.298638,133.37599
2234,2015-01,2015011418,11.6,131.8,11.858928,131.82414
2234,2015-01,2015011500,11.5,130.6,12.015629,130.98639
2234,2015-01,2015011506,11.4,129.8,12.08569,129.91614
2234,2015-01,2015011512,11.3,128.70000000000002,11.575269,129.77397
2234,2015-01,2015011518,11.1,127.6,11.659761,129.0221
2234,2015-01,2015011600,11.3,126.8,11.624547,127.13855
2234,2015-01,2015011606,11.9,125.8,12.076982,127.00655
2234,2015-01,2015011612,12.4,125.0,11.627374,125.3296
2234,2015-01,2015011618,12.7,124.3,11.156158,124.23339
2234,2015-01,2015011700,13.4,123.6,12.440668,123.50527
2234,2015-01,2015011706,14.0,122.7,13.386996,122.36503
2234,2015-01,2015011712,14.8,122.4,14.016907,121.82629
2234,2015-01,2015011718,15.8,122.5,13.880551,121.77083
2234,2015-01,2015011800,16.5,122.8,15.620916,121.40324
2234,2015-01,2015011806,16.8,123.0,16.369146,121.197495
2234,2015-01,2015011812,16.8,123.5,17.41539,121.999535
2234,2015-01,2015011818,16.7,123.9,18.642776,124.33601
2235,2015-02,2015020712,12.2,156.8,12.586882,157.88843
2235,2015-02,2015020718,12.2,156.60000000000002,13.365943,157.982
2235,2015-02,2015020800,12.3,156.4,12.786303,156.70221
2235,2015-02,2015020806,12.4,156.10000000000002,13.045421,156.49962
2235,2015-02,2015020812,12.7,155.70000000000002,12.610566,155.86856
2235,2015-02,2015020818,13.0,155.20000000000002,12.864991,155.212
2235,2015-02,2015020900,13.6,154.70000000000002,12.535702,154.50505
2235,2015-02,2015020906,14.2,154.20000000000002,13.103547,154.67406
2235,2015-02,2015020912,14.7,154.0,14.107981,155.08437
2235,2015-02,2015020918,15.1,153.70000000000002,14.586116,154.89925
2235,2015-02,2015021000,15.4,153.3,15.686373,154.58116
2235,2015-02,2015021006,15.6,152.8,16.856829,154.41129
2235,2015-02,2015021012,16.1,152.5,17.426361,155.86954
2235,2015-02,2015021018,16.5,152.1,16.860516,154.93271
2235,2015-02,2015021100,16.8,152.20000000000002,15.960999,153.16461
2235,2015-02,2015021106,17.5,152.6,16.645721,153.9454
2236,2015-03,2015031206,9.0,159.8,10.124534,160.1893
2236,2015-03,2015031212,9.5,158.8,10.180821,158.4938
2236,2015-03,2015031218,10.7,157.4,10.879357,157.21263
2236,2015-03,2015031300,11.7,155.3,10.956428,154.30258
2236,2015-03,2015031306,12.5,153.0,11.36119,153.47989
2236,2015-03,2015031312,13.6,150.8,12.097419,153.08041
2236,2015-03,2015031318,13.9,149.8,13.802945,151.85004
2236,2015-03,2015031400,14.0,148.3,14.308847,148.90985
2236,2015-03,2015031406,13.9,146.6,14.737077,146.96254
2236,2015-03,2015031412,13.7,144.70000000000002,15.464435,144.50847
2236,2015-03,2015031418,13.4,142.70000000000002,15.729108,145.5616
2236,2015-03,2015031500,13.3,140.9,15.11824,142.83961
2236,2015-03,2015031506,13.7,139.8,14.367615,140.23439
2236,2015-03,2015031512,14.1,138.70000000000002,13.699417,137.66263
2236,2015-03,2015031518,14.7,137.70000000000002,13.728213,136.51558
2236,2015-03,2015031600,15.2,136.20000000000002,13.888892,135.41391
2236,2015-03,2015031606,15.4,135.3,15.380912,135.42726
2236,2015-03,2015031612,15.5,134.5,15.867716,134.59398
2236,2015-03,2015031618,15.8,133.4,16.546843,135.09103
2236,2015-03,2015031700,15.9,132.8,16.270649,133.62178
2236,2015-03,2015031706,16.1,131.9,16.311789,133.69336
2236,2015-03,2015031712,16.1,131.0,15.937405,133.68784
2236,2015-03,2015031718,16.0,130.4,16.135193,131.70242
2236,2015-03,2015031800,15.9,129.8,16.37367,131.39621
2236,2015-03,2015031806,15.6,129.0,16.220657,129.49257
2236,2015-03,2015031812,15.4,128.20000000000002,16.104456,128.51453
2236,2015-03,2015031818,15.2,127.2,15.722795,127.872635
2236,2015-03,2015031900,15.0,126.6,15.614738,127.48295
2236,2015-03,2015031906,14.7,125.9,14.966797,126.00777
2236,2015-03,2015031912,14.5,125.1,15.027563,124.03389
2236,2015-03,2015031918,14.5,124.2,14.912383,122.577896
2236,2015-03,2015032000,14.5,123.4,15.237982,123.50364
2236,2015-03,2015032006,14.3,122.5,14.545936,123.33649
2236,2015-03,2015032012,14.0,121.7,14.3962965,121.86968
2237,2015-04,2015032700,7.6,155.3,7.178864,154.4922
2237,2015-04,2015032706,7.6,154.5,7.773562,154.37704
2237,2015-04,2015032712,7.5,153.5,8.106265,153.80965
2237,2015-04,2015032718,7.4,152.70000000000002,8.103322,153.44298
2237,2015-04,2015032800,7.5,151.9,7.710252,151.94736
2237,2015-04,2015032806,7.7,150.9,7.840495,151.35947
2237,2015-04,2015032812,8.0,149.70000000000002,7.8133087,149.56874
2237,2015-04,2015032818,8.1,148.20000000000002,7.8236623,149.2854
2237,2015-04,2015032900,8.4,147.20000000000002,7.8549886,148.15105
2237,2015-04,2015032906,8.8,145.8,8.304065,146.17752
2237,2015-04,2015032912,9.0,144.8,9.04627,144.35576
2237,2015-04,2015032918,9.4,143.6,8.681428,143.06331
2237,2015-04,2015033000,9.6,142.4,9.368075,142.65129
2237,2015-04,2015033006,10.0,141.3,9.565489,140.9088
2237,2015-04,2015033012,10.3,139.9,10.180084,140.07265
2237,2015-04,2015033018,10.3,138.70000000000002,10.645006,138.74968
2237,2015-04,2015033100,10.7,137.6,9.940691,137.85251
2237,2015-04,2015033106,11.2,136.6,10.312123,136.78325
2237,2015-04,2015033112,11.7,135.70000000000002,11.064106,134.9586
2237,2015-04,2015033118,12.0,134.70000000000002,11.167758,135.08742
2237,2015-04,2015040100,12.3,134.0,11.809805,133.7141
2237,2015-04,2015040106,12.8,133.4,12.432419,133.26332
2237,2015-04,2015040112,13.3,132.6,13.298755,132.49721
2237,2015-04,2015040118,13.8,131.9,13.27198,132.38916
2237,2015-04,2015040200,14.1,131.0,14.088332,132.08005
2237,2015-04,2015040206,14.2,130.0,14.740389,131.91118
2237,2015-04,2015040212,14.2,129.0,15.335867,129.9253
2237,2015-04,2015040218,14.4,127.7,15.468624,129.17738
2237,2015-04,2015040300,14.8,126.5,15.198049,128.13274
