TID,KEY,TIME,LAT,LONG,PRED_LAT,PRED_LONG
2234,2015-01,2015011400,11.5,134.70000000000002,11.561632,136.0451
2234,2015-01,2015011406,11.7,133.5,12.183312,135.39127
2234,2015-01,2015011412,11.6,132.70000000000002,12.611141,134.40535
2234,2015-01,2015011418,11.6,131.8,12.266264,132.91106
2234,2015-01,2015011500,11.5,130.6,11.625886,131.48798
2234,2015-01,2015011506,11.4,129.8,11.978365,131.135
2234,2015-01,2015011512,11.3,128.70000000000002,11.58603,130.63667
2234,2015-01,2015011518,11.1,127.6,11.765045,130.08392
2234,2015-01,2015011600,11.3,126.8,11.51083,128.78633
2234,2015-01,2015011606,11.9,125.8,12.460964,128.22173
2234,2015-01,2015011612,12.4,125.0,12.338916,127.03246
2234,2015-01,2015011618,12.7,124.3,12.052471,125.79193
2234,2015-01,2015011700,13.4,123.6,12.895773,124.5729
2234,2015-01,2015011706,14.0,122.7,13.480361,123.07789
2234,2015-01,2015011712,14.8,122.4,14.213564,122.43067
2234,2015-01,2015011718,15.8,122.5,14.593871,122.66013
2234,2015-01,2015011800,16.5,122.8,15.934451,122.44587
2234,2015-01,2015011806,16.8,123.0,16.499437,121.58166
2234,2015-01,2015011812,16.8,123.5,16.94803,121.58718
2234,2015-01,2015011818,16.7,123.9,18.44011,124.077255
2235,2015-02,2015020712,12.2,156.8,12.331295,157.50125
2235,2015-02,2015020718,12.2,156.60000000000002,12.775241,157.6049
2235,2015-02,2015020800,12.3,156.4,12.862722,157.17381
2235,2015-02,2015020806,12.4,156.10000000000002,13.353671,157.28305
2235,2015-02,2015020812,12.7,155.70000000000002,13.342131,156.18227
2235,2015-02,2015020818,13.0,155.20000000000002,13.231597,155.36041
2235,2015-02,2015020900,13.6,154.70000000000002,13.055576,155.45393
2235,2015-02,2015020906,14.2,154.20000000000002,13.722843,155.5592
2235,2015-02,2015020912,14.7,154.0,14.829633,155.39888
2235,2015-02,2015020918,15.1,153.70000000000002,15.659169,155.28445
2235,2015-02,2015021000,15.4,153.3,16.599272,154.75958
2235,2015-02,2015021006,15.6,152.8,18.093998,155.1456
2235,2015-02,2015021012,16.1,152.5,18.484179,155.43088
2235,2015-02,2015021018,16.5,152.1,17.012009,154.25565
2235,2015-02,2015021100,16.8,152.20000000000002,15.917554,152.74815
2235,2015-02,2015021106,17.5,152.6,16.454615,153.19576
2236,2015-03,2015031206,9.0,159.8,10.000916,161.28212
2236,2015-03,2015031212,9.5,158.8,10.856692,159.55527
2236,2015-03,2015031218,10.7,157.4,11.261459,158.13492
2236,2015-03,2015031300,11.7,155.3,11.654256,155.37814
2236,2015-03,2015031306,12.5,153.0,11.556513,153.72063
2236,2015-03,2015031312,13.6,150.8,12.180822,152.5658
2236,2015-03,2015031318,13.9,149.8,13.84826,151.56963
2236,2015-03,2015031400,14.0,148.3,14.433544,149.72629
2236,2015-03,2015031406,13.9,146.6,14.761033,148.19035
2236,2015-03,2015031412,13.7,144.70000000000002,15.064486,144.95532
2236,2015-03,2015031418,13.4,142.70000000000002,15.667864,144.85071
2236,2015-03,2015031500,13.3,140.9,14.917395,143.48112
2236,2015-03,2015031506,13.7,139.8,14.3430805,141.38387
2236,2015-03,2015031512,14.1,138.70000000000002,13.797088,138.09543
2236,2015-03,2015031518,14.7,137.70000000000002,13.46223,136.8589
2236,2015-03,2015031600,15.2,136.20000000000002,14.007965,135.41353
2236,2015-03,2015031606,15.4,135.3,15.886784,134.97687
2236,2015-03,2015031612,15.5,134.5,16.689135,135.09804
2236,2015-03,2015031618,15.8,133.4,16.969095,135.40836
2236,2015-03,2015031700,15.9,132.8,16.556118,134.11328
2236,2015-03,2015031706,16.1,131.9,16.858858,134.00731
2236,2015-03,2015031712,16.1,131.0,16.905783,133.65129
2236,2015-03,2015031718,16.0,130.4,17.004305,131.7546
2236,2015-03,2015031800,15.9,129.8,16.904446,131.07396
2236,2015-03,2015031806,15.6,129.0,16.53276,129.36877
2236,2015-03,2015031812,15.4,128.20000000000002,16.056652,128.29965
2236,2015-03,2015031818,15.2,127.2,15.377655,128.19164
2236,2015-03,2015031900,15.0,126.6,15.30964,127.930695
2236,2015-03,2015031906,14.7,125.9,14.973803,126.91832
2236,2015-03,2015031912,14.5,125.1,15.677558,124.76203
2236,2015-03,2015031918,14.5,124.2,15.31313,123.47725
2236,2015-03,2015032000,14.5,123.4,15.308534,124.03565
2236,2015-03,2015032006,14.3,122.5,14.786852,124.754654
2236,2015-03,2015032012,14.0,121.7,14.446967,122.82696
2237,2015-04,2015032700,7.6,155.3,7.3451004,156.27417
2237,2015-04,2015032706,7.6,154.5,8.054633,155.68163
